Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:34 pm	1.376	0.10	0.19
10/07/2025 03:09:34 pm	1.380	0.14	0.10
10/07/2025 03:09:34 pm	1.384	0.05	0.14
10/07/2025 03:09:34 pm	1.388	0.05	0.10
10/07/2025 03:09:34 pm	1.392	0.00	0.19
10/07/2025 03:09:34 pm	1.396	0.05	0.05
10/07/2025 03:09:34 pm	1.400	0.10	0.14
10/07/2025 03:09:34 pm	1.404	0.10	0.10
10/07/2025 03:09:34 pm	1.408	0.10	0.14
10/07/2025 03:09:34 pm	1.412	0.00	0.00
10/07/2025 03:09:34 pm	1.416	0.05	0.19
10/07/2025 03:09:34 pm	1.420	0.05	0.14
10/07/2025 03:09:34 pm	1.424	0.10	0.05
10/07/2025 03:09:34 pm	1.428	0.10	0.14
10/07/2025 03:09:34 pm	1.432	0.10	0.05
10/07/2025 03:09:34 pm	1.436	0.00	0.19
10/07/2025 03:09:34 pm	1.440	0.10	0.10
10/07/2025 03:09:34 pm	1.444	0.00	0.05
10/07/2025 03:09:34 pm	1.448	0.10	0.19
10/07/2025 03:09:34 pm	1.452	0.14	0.05
10/07/2025 03:09:34 pm	1.456	0.05	0.14
10/07/2025 03:09:34 pm	1.460	0.10	0.14
10/07/2025 03:09:34 pm	1.464	0.14	0.10
10/07/2025 03:09:34 pm	1.468	0.10	0.19
10/07/2025 03:09:34 pm	1.472	-0.10	0.05
10/07/2025 03:09:34 pm	1.476	0.14	0.14
10/07/2025 03:09:34 pm	1.480	0.10	0.05
10/07/2025 03:09:34 pm	1.484	0.10	0.24
10/07/2025 03:09:34 pm	1.488	0.10	0.19
10/07/2025 03:09:34 pm	1.492	0.10	0.05
10/07/2025 03:09:34 pm	1.496	0.10	0.19
10/07/2025 03:09:34 pm	1.500	0.10	0.10
10/07/2025 03:09:34 pm	1.504	0.10	0.14
10/07/2025 03:09:34 pm	1.508	0.14	0.05
10/07/2025 03:09:34 pm	1.512	0.10	0.10
10/07/2025 03:09:34 pm	1.516	0.05	0.14
10/07/2025 03:09:34 pm	1.520	0.10	0.14
10/07/2025 03:09:34 pm	1.524	0.10	0.24
10/07/2025 03:09:34 pm	1.528	0.10	0.19
10/07/2025 03:09:34 pm	1.532	0.10	0.19
10/07/2025 03:09:34 pm	1.536	0.00	0.19
10/07/2025 03:09:34 pm	1.540	0.10	0.05
10/07/2025 03:09:34 pm	1.544	0.05	0.10
10/07/2025 03:09:34 pm	1.548	0.05	0.14
10/07/2025 03:09:34 pm	1.552	0.10	0.05
10/07/2025 03:09:34 pm	1.556	0.10	0.14
10/07/2025 03:09:34 pm	1.560	0.10	0.10
10/07/2025 03:09:34 pm	1.564	0.05	0.10
10/07/2025 03:09:34 pm	1.568	0.14	0.14
10/07/2025 03:09:34 pm	1.572	0.05	0.00
10/07/2025 03:09:34 pm	1.576	0.00	0.19
10/07/2025 03:09:34 pm	1.580	0.00	0.14
10/07/2025 03:09:34 pm	1.584	0.10	0.14
10/07/2025 03:09:34 pm	1.588	0.10	0.14
10/07/2025 03:09:34 pm	1.592	0.10	0.05
10/07/2025 03:09:34 pm	1.596	0.10	0.14
10/07/2025 03:09:34 pm	1.600	0.10	0.19
10/07/2025 03:09:34 pm	1.604	0.14	0.05
10/07/2025 03:09:34 pm	1.608	0.10	0.19
10/07/2025 03:09:34 pm	1.612	0.10	0.10
10/07/2025 03:09:34 pm	1.616	0.10	0.14
10/07/2025 03:09:34 pm	1.620	0.00	0.05
10/07/2025 03:09:34 pm	1.624	0.00	0.14
10/07/2025 03:09:34 pm	1.628	0.05	0.10
10/07/2025 03:09:34 pm	1.632	0.00	0.10
10/07/2025 03:09:34 pm	1.636	0.14	0.10
10/07/2025 03:09:34 pm	1.640	0.10	0.19
